time,open,high,low,close,volume
2020-07-11,0.02597,0.026027,0.02582,0.025902,146636.485
2020-07-12,0.025903,0.026145,0.025683,0.026102,215861.917
2020-07-13,0.0261,0.02632,0.025773,0.025918,245348.323
2020-07-14,0.025921,0.026121,0.025818,0.025978,169312.399
2020-07-15,0.025978,0.026039,0.025795,0.025941,172555.172
2020-07-16,0.025939,0.025958,0.02531,0.025574,216824.765
2020-07-17,0.025575,0.025658,0.025389,0.025419,192719.388
2020-07-18,0.025416,0.025764,0.025399,0.025698,179184.472
2020-07-19,0.025701,0.026005,0.025536,0.025966,169870.771
2020-07-20,0.025966,0.026051,0.025598,0.025765,231460.064
2020-07-21,0.025762,0.026277,0.025729,0.026154,304632.213
2020-07-22,0.02615,0.028349,0.026,0.027708,361901.108
2020-07-23,0.027711,0.029212,0.027442,0.028664,473630.05
2020-07-24,0.028673,0.029832,0.02825,0.029262,333287.431
2020-07-25,0.029266,0.031767,0.02926,0.03147,350583.872
2020-07-26,0.031476,0.032631,0.03011,0.031314,448429.365
2020-07-27,0.031317,0.032611,0.028634,0.029191,919327.286
2020-07-28,0.029183,0.029311,0.028476,0.029046,636962.943
2020-07-29,0.029045,0.029396,0.02853,0.028618,469857.965
2020-07-30,0.028618,0.030672,0.028606,0.030172,548072.575
2020-07-31,0.03017,0.030995,0.029934,0.030557,565052.56
2020-08-01,0.030557,0.033142,0.030313,0.032795,804554.214
2020-08-02,0.032795,0.034769,0.030333,0.033638,1076655.557
2020-08-03,0.033633,0.035149,0.033477,0.034394,708736.232
2020-08-04,0.034389,0.035318,0.034359,0.034812,631149.422
2020-08-05,0.03481,0.034926,0.033814,0.034119,611437.241
2020-08-06,0.034118,0.034274,0.033375,0.033562,444499.372
2020-08-07,0.03356,0.033649,0.0318,0.03271,457143.106
2020-08-08,0.03271,0.033759,0.032595,0.033757,226993.676
2020-08-09,0.03376,0.033921,0.033125,0.033396,257166.52
2020-08-10,0.033396,0.033583,0.032744,0.033255,499844.36
2020-08-11,0.033255,0.033743,0.032854,0.03327,425798.3
2020-08-12,0.03327,0.033575,0.032777,0.033473,375457.79
2020-08-13,0.03348,0.036589,0.033434,0.036038,827595.452
2020-08-14,0.036037,0.037701,0.035777,0.037254,634703.594
2020-08-15,0.037254,0.037366,0.035789,0.036472,308894.773
2020-08-16,0.036478,0.036754,0.035254,0.036408,246568.95
2020-08-17,0.036408,0.036467,0.034888,0.03507,310534.05
2020-08-18,0.03507,0.035645,0.034756,0.03532,272465.036
2020-08-19,0.035319,0.035501,0.033842,0.034667,310614.486
2020-08-20,0.034666,0.035274,0.034447,0.035085,294888.982
2020-08-21,0.035088,0.03525,0.033491,0.033645,375533.031
2020-08-22,0.033644,0.03402,0.033322,0.033884,276231.624
2020-08-23,0.033885,0.03399,0.03327,0.033541,199973.019
2020-08-24,0.033542,0.034808,0.033436,0.034704,268557.631
2020-08-25,0.034704,0.034775,0.032831,0.033836,368519.746
2020-08-26,0.033836,0.034172,0.033502,0.033662,271028.532
2020-08-27,0.033662,0.03426,0.03328,0.03383,295252.722
2020-08-28,0.033829,0.034522,0.03366,0.034282,253808.62
2020-08-29,0.034282,0.035212,0.034175,0.034767,229726.224
2020-08-30,0.034767,0.036718,0.034751,0.036626,390342.709
2020-08-31,0.036622,0.03749,0.03606,0.037235,436738.707
2020-09-01,0.037237,0.040575,0.03708,0.039875,795080.536
2020-09-02,0.039875,0.040444,0.037459,0.0386,649956.257
2020-09-03,0.038596,0.039443,0.036483,0.037616,624406.492
2020-09-04,0.037615,0.038144,0.036128,0.036882,434874.484
2020-09-05,0.036883,0.037372,0.031219,0.032961,879531.551
2020-09-06,0.032961,0.035005,0.031637,0.034398,633550.277
2020-09-07,0.0344,0.034775,0.032726,0.034086,488420.389
2020-09-08,0.034087,0.03422,0.03296,0.033312,397470.97
2020-09-09,0.033317,0.03474,0.033125,0.034332,316935.889
2020-09-10,0.034331,0.036073,0.03429,0.035593,413250.814
2020-09-11,0.035594,0.036098,0.03486,0.03597,336460.581
2020-09-12,0.03597,0.03717,0.035385,0.037144,305936.079
2020-09-13,0.03714,0.037175,0.034584,0.03546,381503.987
2020-09-14,0.03546,0.0359,0.03469,0.035336,391994.325
2020-09-15,0.035335,0.035457,0.0336,0.033754,321709.127
2020-09-16,0.033754,0.033843,0.03313,0.033332,321646.852
2020-09-17,0.033327,0.036062,0.033243,0.035593,494067.318
2020-09-18,0.035592,0.035847,0.03469,0.035162,385732.166
2020-09-19,0.035161,0.035164,0.0345,0.034763,277606.403
2020-09-20,0.034768,0.034869,0.03379,0.03397,258896.579
2020-09-21,0.033975,0.034333,0.032042,0.032659,460899.976
2020-09-22,0.032665,0.03307,0.032301,0.032687,341684.923
2020-09-23,0.032687,0.032739,0.030899,0.031311,320667.851
2020-09-24,0.031315,0.032909,0.031053,0.032506,333471.014
2020-09-25,0.032502,0.03329,0.031867,0.03293,313526.397
2020-09-26,0.032933,0.03312,0.032425,0.032989,233791.848
2020-09-27,0.032992,0.033566,0.032755,0.033181,245616.238
2020-09-28,0.033176,0.033703,0.03273,0.033096,263622.329
2020-09-29,0.033093,0.033347,0.032845,0.033189,227312.861
2020-09-30,0.033192,0.033548,0.032946,0.033385,195030.641
2020-10-01,0.033387,0.033889,0.032987,0.03323,283273.392
2020-10-02,0.033235,0.033318,0.0322,0.032694,261445.87
